Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","13 of 1070"
"Citizenship","Foreign nationals"

,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Citizenship]",
"2011","Stanford University","Foreign nationals","2,290",
"2011","University of Chicago","Total for selected values","706",
"2011","University of Chicago","Foreign nationals","706",
"2011","University of Pennsylvania","Total for selected values","780",
"2011","University of Pennsylvania","Foreign nationals","780",
"2011","Yale University","Total for selected values","740",
"2011","Yale University","Foreign nationals","740",
"2010","Total for selected values","Total for selected values","14,509",
"2010","Brown University","Total for selected values","519",
"2010","Brown University","Foreign nationals","519",
"2010","Columbia University in the City of New York","Total for selected values","2,180",
"2010","Columbia University in the City of New York","Foreign nationals","2,180",
"2010","Cornell University","Total for selected values","2,034",
"2010","Cornell University","Foreign nationals","2,034",
"2010","Dartmouth College","Total for selected values","300",
"2010","Dartmouth College","Foreign nationals","300",
"2010","Duke University","Total for selected values","746",
"2010","Duke University","Foreign nationals","746",
"2010","Harvard University","Total for selected values","1,670",
"2010","Harvard University","Foreign nationals","1,670",
"2010","Massachusetts Institute of Technology","Total for selected values","1,833",
"2010","Massachusetts Institute of Technology","Foreign nationals","1,833",
"2010","Princeton University","Total for selected values","751",
"2010","Princeton University","Foreign nationals","751",
"2010","Stanford University","Total for selected values","2,253",
"2010","Stanford University","Foreign nationals","2,253",
"2010","University of Chicago","Total for selected values","710",
"2010","University of Chicago","Foreign nationals","710",
"2010","University of Pennsylvania","Total for selected values","802",
"2010","University of Pennsylvania","Foreign nationals","802",
"2010","Yale University","Total for selected values","711",
"2010","Yale University","Foreign nationals","711",
"2009","Total for selected values","Total for selected values","14,237",
"2009","Brown University","Total for selected values","490",
"2009","Brown University","Foreign nationals","490",
"2009","Columbia Univ in the City of New York","Total for selected values","1,986",
"2009","Columbia Univ in the City of New York","Foreign nationals","1,986",
"2009","Cornell University","Total for selected values","1,822",
"2009","Cornell University","Foreign nationals","1,822",
"2009","Dartmouth College","Total for selected values","275",
"2009","Dartmouth College","Foreign nationals","275",
"2009","Duke University","Total for selected values","681",
"2009","Duke University","Foreign nationals","681",
"2009","Harvard University","Total for selected values","1,680",
"2009","Harvard University","Foreign nationals","1,680",
"2009","Massachusetts Institute of Technology","Total for selected values","2,297",
"2009","Massachusetts Institute of Technology","Foreign nationals","2,297",
"2009","Princeton University","Total for selected values","705",
"2009","Princeton University","Foreign nationals","705",
"2009","Stanford University","Total for selected values","2,160",
"2009","Stanford University","Foreign nationals","2,160",
"2009","University of Chicago","Total for selected values","676",
"2009","University of Chicago","Foreign nationals","676",
"2009","University of Pennsylvania","Total for selected values","789",
"2009","University of Pennsylvania","Foreign nationals","789",
"2009","Yale University","Total for selected values","676",
"2009","Yale University","Foreign nationals","676",
"2008","Total for selected values","Total for selected values","14,027",
"2008","Brown University","Total for selected values","471",
"2008","Brown University","Foreign nationals","471",
"2008","Columbia Univ in the City of New York","Total for selected values","1,889",
"2008","Columbia Univ in the City of New York","Foreign nationals","1,889",
"2008","Cornell University","Total for selected values","1,814",
"2008","Cornell University","Foreign nationals","1,814",
"2008","Dartmouth College","Total for selected values","240",
"2008","Dartmouth College","Foreign nationals","240",
"2008","Duke University","Total for selected values","521",
"2008","Duke University","Foreign nationals","521",
"2008","Harvard University","Total for selected values","1,640",
"2008","Harvard University","Foreign nationals","1,640",
"2008","Massachusetts Institute of Technology","Total for selected values","2,250",
"2008","Massachusetts Institute of Technology","Foreign nationals","2,250",
"2008","Princeton University","Total for selected values","740",
"2008","Princeton University","Foreign nationals","740",
"2008","Stanford University","Total for selected values","2,346",
"2008","Stanford University","Foreign nationals","2,346",
"2008","University of Chicago","Total for selected values","658",
"2008","University of Chicago","Foreign nationals","658",
"2008","University of Pennsylvania","Total for selected values","777",
"2008","University of Pennsylvania","Foreign nationals","777",
"2008","Yale University","Total for selected values","681",
"2008","Yale University","Foreign nationals","681",
"2007","Total for selected values","Total for selected values","13,304",
"2007","Brown University","Total for selected values","461",
"2007","Brown University","Foreign nationals","461",
"2007","Columbia Univ in the City of New York","Total for selected values","1,641",
"2007","Columbia Univ in the City of New York","Foreign nationals","1,641",
"2007","Cornell University","Total for selected values","1,796",
"2007","Cornell University","Foreign nationals","1,796",
"2007","Dartmouth College","Total for selected values","235",
"2007","Dartmouth College","Foreign nationals","235",
"2007","Duke University","Total for selected values","559",
"2007","Duke University","Foreign nationals","559",
"2007","Harvard University","Total for selected values","1,607",
"2007","Harvard University","Foreign nationals","1,607",
"2007","Massachusetts Institute of Technology","Total for selected values","2,176",
"2007","Massachusetts Institute of Technology","Foreign nationals","2,176",
"2007","Princeton University","Total for selected values","659",
"2007","Princeton University","Foreign nationals","659",
"2007","Stanford University","Total for selected values","2,183",
"2007","Stanford University","Foreign nationals","2,183",
"2007","University of Chicago","Total for selected values","587",
"2007","University of Chicago","Foreign nationals","587",
"2007","University of Pennsylvania","Total for selected values","748",
"2007","University of Pennsylvania","Foreign nationals","748",
"2007","Yale University","Total for selected values","652",
"2007","Yale University","Foreign nationals","652",
"2006","Total for selected values","Total for selected values","13,213",
"2006","Brown University","Total for selected values","489",
"2006","Brown University","Foreign nationals","489",
"2006","Columbia Univ in the City of New York","Total for selected values","1,594",
"2006","Columbia Univ in the City of New York","Foreign nationals","1,594",
"2006","Cornell University","Total for selected values","1,722",
"2006","Cornell University","Foreign nationals","1,722",
"2006","Dartmouth College","Total for selected values","189",
"2006","Dartmouth College","Foreign nationals","189",
"2006","Duke University","Total for selected values","549",
"2006","Duke University","Foreign nationals","549",
"2006","Harvard University","Total for selected values","1,568",
