Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"2007","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","51",
"2007","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","103",
"2007","Columbia Univ in the City of New York","Engineering","Total for selected values","932",
"2007","Columbia Univ in the City of New York","Engineering","Foreign nationals","439",
"2007","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","493",
"2007","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","357",
"2007","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","236",
"2007","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","121",
"2007","Columbia Univ in the City of New York","Other health","Total for selected values","547",
"2007","Columbia Univ in the City of New York","Other health","Foreign nationals","7",
"2007","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","540",
"2007","Columbia Univ in the City of New York","Physical sciences","Total for selected values","267",
"2007","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","127",
"2007","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","140",
"2007","Columbia Univ in the City of New York","Psychology","Total for selected values","34",
"2007","Columbia Univ in the City of New York","Psychology","Foreign nationals","1",
"2007","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","33",
"2007","Columbia Univ in the City of New York","Social sciences","Total for selected values","612",
"2007","Columbia Univ in the City of New York","Social sciences","Foreign nationals","269",
"2007","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","343",
"2006","Total for selected values","Total for selected values","Total for selected values","4,154",
"2006","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,154",
"2006","Columbia Univ in the City of New York","Biological sciences","Total for selected values","754",
"2006","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","187",
"2006","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","567",
"2006","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","1",
"2006","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","1",
"2006","Columbia Univ in the City of New York","Computer sciences","Total for selected values","411",
"2006","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","244",
"2006","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","167",
"2006","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","149",
"2006","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","44",
"2006","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","105",
"2006","Columbia Univ in the City of New York","Engineering","Total for selected values","853",
"2006","Columbia Univ in the City of New York","Engineering","Foreign nationals","468",
"2006","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","385",
"2006","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","326",
"2006","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","210",
"2006","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","116",
"2006","Columbia Univ in the City of New York","Other health","Total for selected values","543",
"2006","Columbia Univ in the City of New York","Other health","Foreign nationals","5",
"2006","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","538",
"2006","Columbia Univ in the City of New York","Physical sciences","Total for selected values","258",
"2006","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","130",
"2006","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","128",
"2006","Columbia Univ in the City of New York","Psychology","Total for selected values","32",
"2006","Columbia Univ in the City of New York","Psychology","Foreign nationals","2",
"2006","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","30",
"2006","Columbia Univ in the City of New York","Social sciences","Total for selected values","827",
"2006","Columbia Univ in the City of New York","Social sciences","Foreign nationals","304",
"2006","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","523",
"2005","Total for selected values","Total for selected values","Total for selected values","3,995",
"2005","Columbia Univ in the City of New York","Total for selected values","Total for selected values","3,995",
"2005","Columbia Univ in the City of New York","Biological sciences","Total for selected values","771",
"2005","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","182",
"2005","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","589",
"2005","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","11",
"2005","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","2",
"2005","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","9",
"2005","Columbia Univ in the City of New York","Computer sciences","Total for selected values","365",
"2005","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","171",
"2005","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","194",
"2005","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","150",
"2005","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","46",
"2005","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","104",
"2005","Columbia Univ in the City of New York","Engineering","Total for selected values","795",
"2005","Columbia Univ in the City of New York","Engineering","Foreign nationals","449",
"2005","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","346",
"2005","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","309",
"2005","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","191",
"2005","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","118",
"2005","Columbia Univ in the City of New York","Other health","Total for selected values","669",
"2005","Columbia Univ in the City of New York","Other health","Foreign nationals","6",
"2005","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","663",
"2005","Columbia Univ in the City of New York","Physical sciences","Total for selected values","259",
"2005","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","132",
"2005","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","127",
"2005","Columbia Univ in the City of New York","Psychology","Total for selected values","31",
"2005","Columbia Univ in the City of New York","Psychology","Foreign nationals","7",
"2005","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","24",
"2005","Columbia Univ in the City of New York","Social sciences","Total for selected values","635",
"2005","Columbia Univ in the City of New York","Social sciences","Foreign nationals","288",
"2005","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","347",
"2004","Total for selected values","Total for selected values","Total for selected values","3,634",
"2004","Columbia Univ in the City of New York","Total for selected values","Total for selected values","3,634",
"2004","Columbia Univ in the City of New York","Biological sciences","Total for selected values","774",
"2004","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","203",
"2004","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","571",
"2004","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","10",
"2004","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","2",
"2004","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","8",
"2004","Columbia Univ in the City of New York","Computer sciences","Total for selected values","372",
"2004","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","182",
"2004","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","190",
"2004","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","135",
"2004","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","49",
"2004","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","86",
"2004","Columbia Univ in the City of New York","Engineering","Total for selected values","767",
"2004","Columbia Univ in the City of New York","Engineering","Foreign nationals","441",
"2004","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","326",
"2004","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","249",
"2004","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","130",
"2004","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","119",
"2004","Columbia Univ in the City of New York","Other health","Total for selected values","408",
"2004","Columbia Univ in the City of New York","Other health","Foreign nationals","8",
"2004","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","400",
"2004","Columbia Univ in the City of New York","Physical sciences","Total for selected values","276",
"2004","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","145",
"2004","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","131",
"2004","Columbia Univ in the City of New York","Psychology","Total for selected values","36",
"2004","Columbia Univ in the City of New York","Psychology","Foreign nationals","7",
"2004","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","29",
"2004","Columbia Univ in the City of New York","Social sciences","Total for selected values","607",
"2004","Columbia Univ in the City of New York","Social sciences","Foreign nationals","276",
"2004","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","331",
"2003","Total for selected values","Total for selected values","Total for selected values","2,429",
"2003","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,429",
"2003","Columbia Univ in the City of New York","Biological sciences","Total for selected values","259",
"2003","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","56",
"2003","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","203",
"2003","Columbia Univ in the City of New York","Computer sciences","Total for selected values","307",
"2003","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","159",
"2003","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","148",
"2003","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","115",
"2003","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","22",
"2003","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","93",
"2003","Columbia Univ in the City of New York","Engineering","Total for selected values","759",
"2003","Columbia Univ in the City of New York","Engineering","Foreign nationals","454",
"2003","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","305",
"2003","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","260",
"2003","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","141",
"2003","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","119",
"2003","Columbia Univ in the City of New York","Other health","Total for selected values","75",
"2003","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","75",
"2003","Columbia Univ in the City of New York","Physical sciences","Total for selected values","256",
"2003","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","139",
"2003","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","117",
"2003","Columbia Univ in the City of New York","Psychology","Total for selected values","35",
"2003","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","35",
"2003","Columbia Univ in the City of New York","Social sciences","Total for selected values","363",
"2003","Columbia Univ in the City of New York","Social sciences","Foreign nationals","183",
"2003","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","180",
"2002","Total for selected values","Total for selected values","Total for selected values","2,197",
"2002","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,197",
"2002","Columbia Univ in the City of New York","Biological sciences","Total for selected values","247",
"2002","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","63",
"2002","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","184",
"2002","Columbia Univ in the City of New York","Computer sciences","Total for selected values","234",
"2002","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","120",
"2002","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","114",
"2002","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","116",
"2002","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","47",
"2002","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","69",
"2002","Columbia Univ in the City of New York","Engineering","Total for selected values","646",
"2002","Columbia Univ in the City of New York","Engineering","Foreign nationals","341",
"2002","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","305",
"2002","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","232",
"2002","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","145",
"2002","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","87",
"2002","Columbia Univ in the City of New York","Other health","Total for selected values","65",
"2002","Columbia Univ in the City of New York","Other health","Foreign nationals","3",
"2002","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","62",
"2002","Columbia Univ in the City of New York","Physical sciences","Total for selected values","256",
"2002","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","128",
"2002","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","128",
"2002","Columbia Univ in the City of New York","Psychology","Total for selected values","31",
"2002","Columbia Univ in the City of New York","Psychology","Foreign nationals","3",
"2002","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","28",
"2002","Columbia Univ in the City of New York","Social sciences","Total for selected values","370",
"2002","Columbia Univ in the City of New York","Social sciences","Foreign nationals","201",
"2002","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","169",
"2001","Total for selected values","Total for selected values","Total for selected values","2,062",
"2001","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,062",
"2001","Columbia Univ in the City of New York","Biological sciences","Total for selected values","201",
"2001","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","64",
"2001","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","137",
"2001","Columbia Univ in the City of New York","Computer sciences","Total for selected values","222",
"2001","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","89",
"2001","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","133",
"2001","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","123",
"2001","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","48",
"2001","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","75",
"2001","Columbia Univ in the City of New York","Engineering","Total for selected values","610",
"2001","Columbia Univ in the City of New York","Engineering","Foreign nationals","374",
"2001","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","236",
"2001","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","173",
"2001","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","92",
"2001","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","81",
"2001","Columbia Univ in the City of New York","Other health","Total for selected values","88",
"2001","Columbia Univ in the City of New York","Other health","Foreign nationals","5",
"2001","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2001","Columbia Univ in the City of New York","Physical sciences","Total for selected values","230",
"2001","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","126",
"2001","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","104",
"2001","Columbia Univ in the City of New York","Psychology","Total for selected values","33",
"2001","Columbia Univ in the City of New York","Psychology","Foreign nationals","4",
"2001","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","29",
"2001","Columbia Univ in the City of New York","Social sciences","Total for selected values","382",
"2001","Columbia Univ in the City of New York","Social sciences","Foreign nationals","195",
"2001","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","187",
"2000","Total for selected values","Total for selected values","Total for selected values","2,278",
"2000","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,278",
"2000","Columbia Univ in the City of New York","Biological sciences","Total for selected values","334",
"2000","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","102",
"2000","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","232",
"2000","Columbia Univ in the City of New York","Computer sciences","Total for selected values","176",
"2000","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","75",
"2000","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","101",
"2000","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","120",
"2000","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","52",
"2000","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","68",
"2000","Columbia Univ in the City of New York","Engineering","Total for selected values","569",
"2000","Columbia Univ in the City of New York","Engineering","Foreign nationals","368",
"2000","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","201",
"2000","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","134",
"2000","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","76",
"2000","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","58",
"2000","Columbia Univ in the City of New York","Other health","Total for selected values","96",
"2000","Columbia Univ in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","96",
"2000","Columbia Univ in the City of New York","Physical sciences","Total for selected values","197",
"2000","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","109",
"2000","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","88",
"2000","Columbia Univ in the City of New York","Social sciences","Total for selected values","652",
"2000","Columbia Univ in the City of New York","Social sciences","Foreign nationals","278",
"2000","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","374",
"1999","Total for selected values","Total for selected values","Total for selected values","2,333",
"1999","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,333",
"1999","Columbia Univ in the City of New York","Biological sciences","Total for selected values","477",
"1999","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","107",
"1999","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","370",
"1999","Columbia Univ in the City of New York","Computer sciences","Total for selected values","176",
"1999","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","75",
"1999","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","101",
"1999","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","90",
"1999","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","31",
"1999","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","59",
"1999","Columbia Univ in the City of New York","Engineering","Total for selected values","605",
"1999","Columbia Univ in the City of New York","Engineering","Foreign nationals","304",
"1999","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","301",
"1999","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","124",
"1999","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","68",
"1999","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","56",
"1999","Columbia Univ in the City of New York","Physical sciences","Total for selected values","187",
"1999","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","103",
"1999","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","84",
"1999","Columbia Univ in the City of New York","Psychology","Total for selected values","28",
"1999","Columbia Univ in the City of New York","Psychology","Foreign nationals","8",
"1999","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"1999","Columbia Univ in the City of New York","Social sciences","Total for selected values","646",
"1999","Columbia Univ in the City of New York","Social sciences","Foreign nationals","261",
"1999","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","385",
"1998","Total for selected values","Total for selected values","Total for selected values","2,419",
"1998","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,419",
"1998","Columbia Univ in the City of New York","Biological sciences","Total for selected values","447",
"1998","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","137",
"1998","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","310",
"1998","Columbia Univ in the City of New York","Computer sciences","Total for selected values","133",
"1998","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","59",
"1998","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","74",
"1998","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","95",
"1998","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","34",
"1998","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","61",
"1998","Columbia Univ in the City of New York","Engineering","Total for selected values","623",
"1998","Columbia Univ in the City of New York","Engineering","Foreign nationals","329",
"1998","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","294",
"1998","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","148",
"1998","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","83",
"1998","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","65",
"1998","Columbia Univ in the City of New York","Physical sciences","Total for selected values","196",
"1998","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","113",
"1998","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"1998","Columbia Univ in the City of New York","Psychology","Total for selected values","29",
"1998","Columbia Univ in the City of New York","Psychology","Foreign nationals","9",
"1998","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"1998","Columbia Univ in the City of New York","Social sciences","Total for selected values","748",
"1998","Columbia Univ in the City of New York","Social sciences","Foreign nationals","279",
"1998","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","469",
"1997","Total for selected values","Total for selected values","Total for selected values","2,389",
"1997","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,389",
"1997","Columbia Univ in the City of New York","Biological sciences","Total for selected values","557",
"1997","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","124",
"1997","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","433",
"1997","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","4",
"1997","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","4",
"1997","Columbia Univ in the City of New York","Computer sciences","Total for selected values","86",
"1997","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","40",
"1997","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","46",
"1997","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","87",
"1997","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","34",
"1997","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","53",
"1997","Columbia Univ in the City of New York","Engineering","Total for selected values","669",
"1997","Columbia Univ in the City of New York","Engineering","Foreign nationals","293",
"1997","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","376",
"1997","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","98",
"1997","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","52",
"1997","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","46",
"1997","Columbia Univ in the City of New York","Physical sciences","Total for selected values","202",
"1997","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","88",
"1997","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","114",
"1997","Columbia Univ in the City of New York","Psychology","Total for selected values","31",
"1997","Columbia Univ in the City of New York","Psychology","Foreign nationals","9",
"1997","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","22",
"1997","Columbia Univ in the City of New York","Social sciences","Total for selected values","655",
"1997","Columbia Univ in the City of New York","Social sciences","Foreign nationals","220",
"1997","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","435",
"1996","Total for selected values","Total for selected values","Total for selected values","2,442",
"1996","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,442",
"1996","Columbia Univ in the City of New York","Biological sciences","Total for selected values","451",
"1996","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","135",
"1996","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","316",
"1996","Columbia Univ in the City of New York","Computer sciences","Total for selected values","158",
"1996","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","75",
"1996","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"1996","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","86",
"1996","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","34",
"1996","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","52",
"1996","Columbia Univ in the City of New York","Engineering","Total for selected values","678",
"1996","Columbia Univ in the City of New York","Engineering","Foreign nationals","204",
"1996","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","474",
"1996","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","122",
